# Placement file for Circuit Training
# Source input file(s) : ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/netlist.pb.txt
# This file : ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/initial.plc
# Date : 2022-09-20 11:30:06
# Columns : 23  Rows : 28
# Width : 1347.100  Height : 1346.800
# Area : 1506097.566312155
# Wirelength : 3610985.229
# Wirelength cost : 0.0526
# Congestion cost : 0.7721
# Density cost : 0.7209
# Project : circuit_training
# Block : unset_block
# Routes per micron, hor : 11.285  ver : 12.605
# Routes used by macros, hor : 7.143  ver : 8.339
# Smoothing factor : 2
# Overlap threshold : 0.004
# 
# 
# 
# Counts of node types:
# HARD_MACROs     :       133
# HARD_MACRO_PINs :      7847
# MACROs          :       943
# MACRO_PINs      :     19658
# PORTs           :       495
# SOFT_MACROs     :       810
# SOFT_MACRO_PINs :     11811
# STDCELLs        :         0
# 
# User comments:
# Original source netlist with standard cells: /home/zf4_projects/DREAMPlace/sakundu/ABK_MP/08162022_flow_scripts/MacroPlacement/Flows/NanGate45/ariane133/run-20220816-035413/flow2_1.3/ariane.pb.txt
# Groups file: ./output_ariane_NanGate45/23cols_28rows/g500_ub5_nruns10_c5_r3_v3_rc1/groups.final
# worst 10 spread
# grp: 744 - spread: 278916.7518893204
# grp: 50 - spread: 268009.6376835485
# grp: 336 - spread: 223800.4868365636
# grp: 535 - spread: 207184.36226282385
# grp: 505 - spread: 197871.97286953646
# grp: 586 - spread: 190713.73374938426
# grp: 756 - spread: 184033.9279079139
# grp: 532 - spread: 173094.29808680012
# grp: 773 - spread: 170707.79035165644
# grp: 347 - spread: 168578.0558490756
# 
# 
# node_index x y orientation fixed
0 0.035 232.470 - 0
1 0.035 235.130 - 0
2 0.035 237.790 - 0
3 0.035 240.450 - 0
4 0.035 243.110 - 0
5 0.035 245.770 - 0
6 0.035 248.430 - 0
7 0.035 251.230 - 0
8 0.035 253.890 - 0
9 0.035 256.550 - 0
10 0.035 259.210 - 0
11 0.035 261.870 - 0
12 0.035 264.530 - 0
13 0.035 267.190 - 0
14 0.035 269.990 - 0
15 0.035 272.650 - 0
16 0.035 275.310 - 0
17 0.035 277.970 - 0
18 0.035 280.630 - 0
19 0.035 283.290 - 0
20 0.035 285.950 - 0
21 0.035 288.750 - 0
22 0.035 291.410 - 0
23 0.035 294.070 - 0
24 0.035 296.730 - 0
25 0.035 299.390 - 0
26 0.035 302.050 - 0
27 0.035 304.710 - 0
28 0.035 307.510 - 0
29 0.035 310.170 - 0
30 0.035 312.830 - 0
31 0.035 315.490 - 0
32 0.035 318.150 - 0
33 0.035 320.810 - 0
34 0.035 323.470 - 0
35 0.035 326.270 - 0
36 0.035 328.930 - 0
37 0.035 331.590 - 0
38 0.035 334.250 - 0
39 0.035 336.910 - 0
40 0.035 339.570 - 0
41 0.035 342.230 - 0
42 0.035 345.030 - 0
43 0.035 347.690 - 0
44 0.035 350.350 - 0
45 0.035 353.010 - 0
46 0.035 355.670 - 0
47 0.035 358.330 - 0
48 0.035 361.130 - 0
49 0.035 363.790 - 0
50 0.035 366.450 - 0
51 0.035 369.110 - 0
52 0.035 371.770 - 0
53 0.035 374.430 - 0
54 0.035 377.090 - 0
55 0.035 379.890 - 0
56 0.035 382.550 - 0
57 0.035 385.210 - 0
58 0.035 387.870 - 0
59 0.035 390.530 - 0
60 0.035 393.190 - 0
61 0.035 395.850 - 0
62 0.035 398.650 - 0
63 0.035 401.310 - 0
64 0.035 403.970 - 0
65 0.035 406.630 - 0
66 0.035 409.290 - 0
67 0.035 411.950 - 0
68 0.035 414.610 - 0
69 0.035 417.410 - 0
70 0.035 420.070 - 0
71 0.035 422.730 - 0
72 0.035 425.390 - 0
73 0.035 428.050 - 0
74 0.035 430.710 - 0
75 0.035 433.370 - 0
76 0.035 436.170 - 0
77 0.035 438.830 - 0
78 0.035 441.490 - 0
79 0.035 444.150 - 0
80 0.035 446.810 - 0
81 0.035 449.470 - 0
82 0.035 452.130 - 0
83 0.035 454.930 - 0
84 0.035 457.590 - 0
85 0.035 460.250 - 0
86 0.035 462.910 - 0
87 0.035 465.570 - 0
88 0.035 468.230 - 0
89 0.035 470.890 - 0
90 0.035 473.690 - 0
91 0.035 476.350 - 0
92 0.035 479.010 - 0
93 0.035 481.670 - 0
94 0.035 484.330 - 0
95 0.035 486.990 - 0
96 0.035 489.790 - 0
97 0.035 492.450 - 0
98 0.035 495.110 - 0
99 0.035 497.770 - 0
100 0.035 500.430 - 0
101 0.035 503.090 - 0
102 0.035 505.750 - 0
103 0.035 508.550 - 0
104 0.035 511.210 - 0
105 0.035 513.870 - 0
106 0.035 516.530 - 0
107 0.035 519.190 - 0
108 0.035 521.850 - 0
109 0.035 524.510 - 0
110 0.035 527.310 - 0
111 0.035 529.970 - 0
112 0.035 532.630 - 0
113 0.035 535.290 - 0
114 0.035 537.950 - 0
115 0.035 540.610 - 0
116 0.035 543.270 - 0
117 0.035 546.070 - 0
118 0.035 548.730 - 0
119 0.035 551.390 - 0
120 0.035 554.050 - 0
121 0.035 556.710 - 0
122 0.035 559.370 - 0
123 0.035 562.030 - 0
124 0.035 564.830 - 0
125 0.035 567.490 - 0
126 0.035 570.150 - 0
127 0.035 572.810 - 0
128 0.035 575.470 - 0
129 0.035 578.130 - 0
130 0.035 580.790 - 0
131 0.035 583.590 - 0
132 0.035 586.250 - 0
133 0.035 588.910 - 0
134 0.035 591.570 - 0
135 0.035 594.230 - 0
136 0.035 596.890 - 0
137 0.035 599.550 - 0
138 0.035 602.350 - 0
139 0.035 605.010 - 0
140 0.035 607.670 - 0
141 0.035 610.330 - 0
142 0.035 612.990 - 0
143 0.035 615.650 - 0
144 0.035 618.450 - 0
145 0.035 621.110 - 0
146 0.035 623.770 - 0
147 0.035 626.430 - 0
148 0.035 629.090 - 0
149 0.035 631.750 - 0
150 0.035 634.410 - 0
151 0.035 637.210 - 0
152 0.035 639.870 - 0
153 0.035 642.530 - 0
154 0.035 645.190 - 0
155 0.035 647.850 - 0
156 0.035 650.510 - 0
157 0.035 653.170 - 0
158 0.035 655.970 - 0
159 0.035 658.630 - 0
160 0.035 661.290 - 0
